doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hacom-warranty-special-return,data/hacom-policies/hacom-warranty-special-return.md,Chính sách bảo hành và đổi trả đặc biệt HACOM,https://hacom.vn/chinh-sach-bao-hanh-chi-tiet,2026-09-20,not-stated,public-source-manual-curation
hacom-warranty-process,data/hacom-policies/hacom-warranty-process.md,Quy trình và điều kiện bảo hành HACOM,https://hacom.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source-manual-curation
hacom-paid-buyback,data/hacom-policies/hacom-paid-buyback.md,Chính sách nhập lại hàng tính phí HACOM,https://hacom.vn/chinh-sach-nhap-lai-tinh-phi,2026-09-20,not-stated,public-source-manual-curation
hacom-delivery-policy,data/hacom-policies/hacom-delivery-policy.md,Chính sách giao hàng HACOM,https://hacom.vn/chinh-sach-giao-hang,2026-09-20,not-stated,public-source-manual-curation
hacom-general-terms,data/hacom-policies/hacom-general-terms.md,Chính sách và quy định chung HACOM,https://hacom.vn/chinh-sach-quy-dinh-chung,2026-09-20,not-stated,public-source-manual-curation
